id,group_id
1102394,0
1187304,1
1363700,0
1449032,2
279658,2
1343934,3
1515950,3
1767836,4
2059961,5
947415,3
1003120,6
1353153,6
177221,6
955294,6
1964353,7
400052,7
1175281,8
1244133,8
166250,8
186760,8
633804,8
657863,9
1175122,10
57612,10
1584822,11
1772512,12
2081604,11
1479633,13
203344,13
916188,13
1088533,14
122907,15
1248154,15
1561606,16
1760095,15
1800062,16
479895,16
546321,15
1735326,17
2065881,18
838026,19
854341,17
1281274,20
488095,20
864833,20
1202957,21
1406469,21
1475524,22
1743218,22
1994315,21
352434,23
1490658,24
1557119,24
1693328,24
670536,25
727222,25
1368028,26
246035,26
758460,26
962457,26
1140651,27
836400,27
1201079,28
1685011,28
20448,28
2066972,28
1295719,29
1765880,29
639148,29
910911,29
1584703,30
1646290,30
119370,31
1554434,31
639730,31
1596977,32
73832,32
868222,33
976932,33
1086053,34
2080257,34
1426390,35
1777410,35
40960,36
517013,36
686125,36
464866,37
599804,37
616452,37
674176,37
678246,38
982738,38
96504,39
704292,40
1118117,41
1265366,41
1287457,41
378875,41
1458508,42
543291,42
1135770,43
1333518,43
347770,43
957036,43
1046688,44
108423,44
1499757,44
1619784,44
969502,44
549068,45
382933,46
971995,46
628480,47
84210,47
869045,47
1173915,48
1583686,48
163738,48
2060504,48
266580,48
515271,49
551928,48
750163,49
160360,50
2061906,50
612957,50
950113,50
1288335,51
1382854,51
1736872,51
959272,51
2052720,52
234845,52
1573071,53
387139,53
568852,53
1440295,54
1762570,54
1346077,55
273501,55
2019254,56
1803705,57
391338,58
561890,57
602428,57
618278,57
76731,58
1308960,59
1367476,59
2046019,59
269197,59
442925,59
123962,60
1246785,60
1844006,60
829257,60
1546447,61
989326,61
1243456,62
1890020,62
1900354,62
11311,63
483106,63
483896,63
879255,63
1009525,64
171536,64
1079011,65
168074,65
455984,65
1414463,66
1427761,66
1520148,66
749425,66
794235,66
1225156,67
1464622,67
1522163,67
1528668,67
846280,67
855159,67
1259987,68
657135,68
741636,68
950716,68
1051641,69
1107067,70
1116730,71
1216196,70
124052,70
1379201,72
1666067,72
1733175,69
1779939,73
1868658,73
1974000,71
280103,72
436515,73
43927,69
1511028,74
750540,74
1039362,75
1319731,76
1563653,76
1710420,76
1912164,76
289181,76
1286459,77
2015749,77
692659,77
738239,77
1299176,78
1694681,78
