Timestamp,id,type,gate
2015-05-01 01:31:41,20153101013141-937,1,entrance3
2015-05-01 01:53:34,20153101013141-937,1,general-gate1
2015-05-01 01:56:20,20153101013141-937,1,ranger-stop2
2015-05-01 01:59:36,20153101013141-937,1,ranger-stop0
2015-05-01 02:03:01,20153101013141-937,1,general-gate2
2015-05-01 02:15:17,20153101013141-937,1,general-gate5
2015-05-01 02:25:58,20153101013141-937,1,entrance4
2015-05-01 03:37:00,20153701033700-323,1,entrance3
2015-05-01 03:52:51,20153701033700-323,1,general-gate7
2015-05-01 04:06:50,20153701033700-323,1,entrance1
2015-05-01 05:29:58,20152901052958-57,1,entrance2
2015-05-01 05:50:55,20152901052958-57,1,camping6
2015-05-01 06:17:19,20151701061719-611,1,entrance3
2015-05-01 06:34:02,20151701061719-611,1,general-gate7
2015-05-01 06:49:30,20151701061719-611,1,camping3
2015-05-01 06:49:37,20151701061719-611,1,camping3
2015-05-01 06:51:39,20155101065139-549,1,entrance4
2015-05-01 07:01:48,20155101065139-549,1,general-gate5
2015-05-01 07:04:57,20151701061719-611,1,general-gate7
2015-05-01 07:12:55,20151701061719-611,1,general-gate4
2015-05-01 07:13:31,20155101065139-549,1,general-gate2
2015-05-01 07:16:46,20155101065139-549,1,ranger-stop0
2015-05-01 07:19:51,20155101065139-549,1,ranger-stop2
2015-05-01 07:20:49,20152001072049-523,1,entrance3
2015-05-01 07:22:32,20155101065139-549,1,general-gate1
2015-05-01 07:25:34,20151701061719-611,1,general-gate1
2015-05-01 07:28:31,20151701061719-611,1,ranger-stop2
2015-05-01 07:31:58,20151701061719-611,1,ranger-stop0
2015-05-01 07:33:56,20155101065139-549,1,general-gate4
2015-05-01 07:35:36,20151701061719-611,1,general-gate2
2015-05-01 07:41:05,20155101065139-549,1,general-gate7
2015-05-01 07:41:38,20152001072049-523,1,general-gate1
2015-05-01 07:44:18,20152001072049-523,1,ranger-stop2
2015-05-01 07:47:23,20152001072049-523,1,ranger-stop0
2015-05-01 07:48:40,20151701061719-611,1,general-gate5
2015-05-01 07:50:38,20152001072049-523,1,general-gate2
2015-05-01 07:59:40,20155101065139-549,1,camping0
2015-05-01 08:00:02,20151701061719-611,1,entrance4
2015-05-01 08:02:19,20152001072049-523,1,general-gate5
2015-05-01 08:12:45,20152001072049-523,1,camping6
2015-05-01 08:12:50,20152001072049-523,1,camping6
2015-05-01 08:13:24,20151301081324-366,1,entrance1
2015-05-01 08:21:56,20152101082156-552,1,entrance4
2015-05-01 08:23:13,20152001072049-523,1,general-gate5
2015-05-01 08:27:59,20152101082156-552,1,general-gate6
2015-05-01 08:28:35,20151301081324-366,1,general-gate7
2015-05-01 08:34:55,20152001072049-523,1,general-gate2
2015-05-01 08:36:05,20152101082156-552,1,camping7
2015-05-01 08:38:10,20152001072049-523,1,ranger-stop0
2015-05-01 08:41:15,20152001072049-523,1,ranger-stop2
2015-05-01 08:43:54,20152001072049-523,1,general-gate1
2015-05-01 08:45:57,20151301081324-366,1,entrance3
2015-05-01 08:55:16,20152001072049-523,1,general-gate4
2015-05-01 09:02:24,20152001072049-523,1,general-gate7
2015-05-01 09:15:38,20152001072049-523,1,entrance1
2015-05-01 09:36:44,20153601093644-33,1,entrance0
2015-05-01 09:49:35,20153601093644-33,1,general-gate4
2015-05-01 09:52:59,20155201095259-137,1,entrance4
2015-05-01 09:56:48,20153601093644-33,1,general-gate7
2015-05-01 10:04:32,20155201095259-137,1,general-gate5
2015-05-01 10:10:49,20153601093644-33,1,camping3
2015-05-01 10:19:36,20155201095259-137,1,camping8
2015-05-01 10:35:20,20153501103520-243,1,entrance4
2015-05-01 10:46:55,20153501103520-243,1,general-gate5
2015-05-01 10:57:33,20155701105733-580,1,entrance3
2015-05-01 11:00:02,20152901052958-57,1,camping6
2015-05-01 11:00:20,20153501103520-243,1,general-gate2
2015-05-01 11:04:04,20153501103520-243,1,ranger-stop0
2015-05-01 11:07:36,20153501103520-243,1,ranger-stop2
2015-05-01 11:10:39,20153501103520-243,1,general-gate1
2015-05-01 11:10:56,20152901052958-57,1,general-gate5
2015-05-01 11:12:27,20153501103520-243,1,entrance0
2015-05-01 11:13:03,20155701105733-580,1,general-gate7
2015-05-01 11:13:52,20151301111352-990,1,entrance0
2015-05-01 11:23:15,20152901052958-57,1,general-gate2
2015-05-01 11:23:34,20155701105733-580,1,camping5
2015-05-01 11:26:02,20151301111352-990,1,general-gate4
2015-05-01 11:26:41,20152901052958-57,1,ranger-stop0
2015-05-01 11:29:57,20152901052958-57,1,ranger-stop2
2015-05-01 11:32:44,20152901052958-57,1,general-gate1
2015-05-01 11:32:52,20151301111352-990,1,general-gate7
2015-05-01 11:46:08,20151301111352-990,1,camping3
2015-05-01 11:46:12,20151301111352-990,1,camping3
2015-05-01 11:54:46,20152901052958-57,1,entrance3
2015-05-01 11:59:22,20151301111352-990,1,general-gate7
2015-05-01 12:00:02,20152101082156-552,1,camping7
2015-05-01 12:08:03,20152101082156-552,1,general-gate6
2015-05-01 12:12:00,20152101082156-552,1,general-gate5
2015-05-01 12:13:47,20151301111352-990,1,entrance3
2015-05-01 12:22:59,20152101082156-552,1,general-gate2
2015-05-01 12:26:02,20152101082156-552,1,ranger-stop0
2015-05-01 12:28:56,20152101082156-552,1,ranger-stop2
2015-05-01 12:31:25,20152101082156-552,1,general-gate1
2015-05-01 12:32:53,20152101082156-552,1,entrance0
2015-05-01 13:24:01,20152401012401-945,1,entrance1
2015-05-01 13:25:46,20152501012546-952,1,entrance2
2015-05-01 13:36:06,20152401012401-945,1,general-gate7
2015-05-01 13:42:40,20152401012401-945,1,general-gate4
2015-05-01 13:43:38,20152501012546-952,1,general-gate2
2015-05-01 13:46:31,20152501012546-952,1,ranger-stop0
2015-05-01 13:49:16,20152501012546-952,1,ranger-stop2
2015-05-01 13:51:36,20152501012546-952,1,general-gate1
2015-05-01 13:53:05,20152401012401-945,1,general-gate1
2015-05-01 13:55:32,20152401012401-945,1,ranger-stop2
2015-05-01 13:58:22,20152401012401-945,1,ranger-stop0
2015-05-01 14:01:22,20152401012401-945,1,general-gate2
2015-05-01 14:01:37,20152501012546-952,1,general-gate4
2015-05-01 14:07:56,20152501012546-952,1,general-gate7
2015-05-01 14:12:06,20152401012401-945,1,general-gate5
2015-05-01 14:20:10,20152501012546-952,1,camping3
2015-05-01 14:20:15,20152501012546-952,1,camping3
2015-05-01 14:21:27,20152401012401-945,1,entrance4
2015-05-01 14:32:25,20152501012546-952,1,general-gate7
2015-05-01 14:38:44,20152501012546-952,1,general-gate4
2015-05-01 14:48:44,20152501012546-952,1,general-gate1
2015-05-01 14:51:04,20152501012546-952,1,ranger-stop2
2015-05-01 14:53:49,20152501012546-952,1,ranger-stop0
2015-05-01 14:56:41,20152501012546-952,1,general-gate2
2015-05-01 15:07:01,20152501012546-952,1,general-gate5
2015-05-01 15:16:00,20152501012546-952,1,entrance4
2015-05-01 23:43:06,20154301114306-910,1,entrance2
2015-05-02 00:02:22,20154301114306-910,1,general-gate2
2015-05-02 00:05:29,20154301114306-910,1,ranger-stop0
2015-05-02 00:08:25,20154301114306-910,1,ranger-stop2
2015-05-02 00:10:57,20154301114306-910,1,general-gate1
2015-05-02 00:13:34,20151302121334-985,1,entrance2
2015-05-02 00:21:44,20154301114306-910,1,general-gate4
2015-05-02 00:28:33,20154301114306-910,1,general-gate7
2015-05-02 00:32:26,20151302121334-985,1,general-gate2
2015-05-02 00:35:29,20151302121334-985,1,ranger-stop0
2015-05-02 00:38:21,20151302121334-985,1,ranger-stop2
2015-05-02 00:40:49,20151302121334-985,1,general-gate1
2015-05-02 00:41:10,20154301114306-910,1,entrance1
2015-05-02 00:42:17,20151302121334-985,1,entrance0
2015-05-02 04:05:12,20150502040512-565,1,entrance1
2015-05-02 04:17:27,20150502040512-565,1,general-gate7
2015-05-02 04:31:22,20150502040512-565,1,entrance3
2015-05-02 07:10:35,20155101065139-549,1,camping0
2015-05-02 07:14:49,20151402071449-545,1,entrance0
2015-05-02 07:16:12,20151402071449-545,1,general-gate1
2015-05-02 07:18:39,20151402071449-545,1,ranger-stop2
2015-05-02 07:21:29,20151402071449-545,1,ranger-stop0
2015-05-02 07:24:28,20151402071449-545,1,general-gate2
2015-05-02 07:29:05,20155101065139-549,1,general-gate7
2015-05-02 07:36:15,20155101065139-549,1,general-gate4
2015-05-02 07:40:31,20154002074031-133,1,entrance1
2015-05-02 07:43:04,20151402071449-545,1,entrance2
2015-05-02 07:47:38,20155101065139-549,1,general-gate1
2015-05-02 07:50:18,20155101065139-549,1,ranger-stop2
2015-05-02 07:52:07,20155202075207-398,1,entrance4
2015-05-02 07:52:20,20154002074031-133,1,general-gate7
2015-05-02 07:53:23,20155101065139-549,1,ranger-stop0
2015-05-02 07:56:40,20155101065139-549,1,general-gate2
2015-05-02 07:58:44,20154002074031-133,1,general-gate4
2015-05-02 08:03:23,20155202075207-398,1,general-gate5
2015-05-02 08:08:54,20154002074031-133,1,general-gate1
2015-05-02 08:11:17,20154002074031-133,1,ranger-stop2
2015-05-02 08:14:02,20154002074031-133,1,ranger-stop0
2015-05-02 08:16:26,20155202075207-398,1,general-gate2
2015-05-02 08:16:56,20155101065139-549,1,entrance2
2015-05-02 08:16:57,20154002074031-133,1,general-gate2
2015-05-02 08:20:03,20155202075207-398,1,ranger-stop0
2015-05-02 08:23:30,20155202075207-398,1,ranger-stop2
2015-05-02 08:26:27,20155202075207-398,1,general-gate1
2015-05-02 08:27:26,20154002074031-133,1,general-gate5
2015-05-02 08:36:49,20154002074031-133,1,camping6
2015-05-02 08:39:04,20155202075207-398,1,general-gate4
2015-05-02 08:47:01,20155202075207-398,1,general-gate7
2015-05-02 08:47:58,20154702084758-168,1,entrance3
2015-05-02 08:58:20,20155202075207-398,1,camping5
2015-05-02 08:58:29,20155202075207-398,1,camping5
2015-05-02 09:01:15,20154702084758-168,1,general-gate7
2015-05-02 09:09:45,20155202075207-398,1,general-gate7
2015-05-02 09:10:14,20154702084758-168,1,camping5
2015-05-02 09:26:28,20155202075207-398,1,entrance3
2015-05-02 11:56:34,20155602115634-803,1,entrance4
2015-05-02 12:07:27,20155602115634-803,1,general-gate5
2015-05-02 12:20:04,20155602115634-803,1,general-gate2
2015-05-02 12:23:35,20155602115634-803,1,ranger-stop0
2015-05-02 12:26:55,20155602115634-803,1,ranger-stop2
2015-05-02 12:29:45,20155602115634-803,1,general-gate1
2015-05-02 12:52:13,20155602115634-803,1,entrance3
2015-05-02 13:03:12,20150302010312-760,1,entrance1
2015-05-02 13:09:26,20150302010312-760,1,camping2
2015-05-02 13:09:34,20150302010312-760,1,camping2
2015-05-02 13:28:52,20150302010312-760,1,general-gate7
2015-05-02 13:44:56,20150302010312-760,1,entrance3
2015-05-02 14:53:52,20155302025352-365,1,entrance0
2015-05-02 15:07:33,20155302025352-365,1,general-gate4
