id,gate,Timestamp
20150001060025-421,entrance0,1
20150001060025-421,entrance4,1
20150001060025-421,general-gate1,1
20150001060025-421,general-gate2,1
20150001060025-421,general-gate5,1
20150001060025-421,ranger-stop0,1
20150001060025-421,ranger-stop2,1
20150002060024-302,camping4,2
20150002060024-302,entrance2,1
20150002060024-302,entrance4,1
20150002060024-302,general-gate1,2
20150002060024-302,general-gate2,2
20150002060024-302,general-gate4,2
20150002060024-302,general-gate5,1
20150002060024-302,general-gate7,2
20150002060024-302,ranger-stop0,2
20150002060024-302,ranger-stop2,2
20150002070024-376,camping0,2
20150002070024-376,entrance3,1
20150002070024-376,entrance4,1
20150002070024-376,general-gate1,1
20150002070024-376,general-gate2,1
20150002070024-376,general-gate4,1
20150002070024-376,general-gate5,1
20150002070024-376,general-gate7,2
20150002070024-376,ranger-stop0,1
20150002070024-376,ranger-stop2,1
20150003010039-281,entrance2,1
20150003010039-281,entrance3,1
20150003010039-281,general-gate1,1
20150003010039-281,general-gate2,1
20150003010039-281,ranger-stop0,1
20150003010039-281,ranger-stop2,1
20150003020050-522,camping5,2
20150003020050-522,entrance2,1
20150003020050-522,entrance4,1
20150003020050-522,general-gate1,2
20150003020050-522,general-gate2,2
20150003020050-522,general-gate4,2
20150003020050-522,general-gate5,1
20150003020050-522,general-gate7,2
20150003020050-522,ranger-stop0,2
20150003020050-522,ranger-stop2,2
20150004010010-724,camping3,2
20150004010010-724,entrance2,2
20150004010010-724,general-gate1,2
20150004010010-724,general-gate2,2
20150004010010-724,general-gate4,2
20150004010010-724,general-gate7,2
20150004010010-724,ranger-stop0,2
20150004010010-724,ranger-stop2,2
20150004100026-651,entrance0,1
20150004100026-651,entrance1,1
20150004100026-651,general-gate4,1
20150004100026-651,general-gate7,1
20150004120029-367,camping2,2
20150004120029-367,entrance2,1
20150004120029-367,entrance4,1
20150004120029-367,general-gate1,2
20150004120029-367,general-gate2,2
20150004120029-367,general-gate4,2
20150004120029-367,general-gate5,1
20150004120029-367,general-gate7,2
20150004120029-367,ranger-stop0,2
20150004120029-367,ranger-stop2,2
20150006070032-991,camping5,2
20150006070032-991,entrance3,1
20150006070032-991,entrance4,1
20150006070032-991,general-gate1,1
20150006070032-991,general-gate2,1
20150006070032-991,general-gate4,1
20150006070032-991,general-gate5,1
20150006070032-991,general-gate7,2
20150006070032-991,ranger-stop0,1
20150006070032-991,ranger-stop2,1
20150007070026-475,entrance1,1
20150007070026-475,entrance3,1
20150007070026-475,general-gate7,1
20150007080020-82,camping6,2
20150007080020-82,entrance3,2
20150007080020-82,general-gate1,2
20150007080020-82,general-gate2,2
20150007080020-82,general-gate5,2
20150007080020-82,ranger-stop0,2
20150007080020-82,ranger-stop2,2
20150007090049-931,camping2,2
