station,user,start
10,503608823,3
10,503659249,114
10,603607121,38
10,603641178,1
10,613614927,51
10,766808837,17
10,766815687,3
10,766860235,115
10,766879828,11
10,796066737,69
100,664563102,128
100,673412077,359
100,684509664,11
100,766874815,1
100,789949797,12
1003,503640007,5
1003,569565321,470
1003,613610844,8
1003,624604405,1896
1003,624607261,20
1003,624610047,319
1003,684512937,343
1003,694614268,1474
1003,704814104,19
1003,704817423,136
1003,796003000,217
1003,796082624,303
1003,796602509,43
1003,796603559,23
1003,796629212,17
1003,796658749,854
1003,796658916,186
1003,796670178,18
1003,796730164,166
1010,475855575,79
1010,522373116,3
1010,525851507,92
1010,552136936,5
1010,624514866,1
1010,633639798,464
1010,633644518,4
1010,644612796,12
1010,644614463,14
1010,654655586,45
1010,654689167,601
1010,684502861,21
1010,689737434,993
1010,703604074,287
1010,703609373,4083
1010,703612241,458
1010,703618971,218
1010,723608308,3
1010,736976143,156
1010,763571500,9
1010,766806798,407
1010,766828712,26
1010,766981693,306
1010,796055255,750
1010,796559752,70
1010,796632631,6
1010,796997374,1180
1014,406477900,26
1014,603682949,37
1014,654553289,46
1014,704502190,8
1014,766104110,2
1014,766873541,36
1014,796602079,204
1018,694556823,222
1018,796081405,137
1022,455248598,9
1022,514651877,313
1022,654502833,1
1022,684501228,57
1022,704505020,76
1022,704507374,20
1022,704567734,35
1022,704816756,36
1022,766856676,106
1022,766868857,10
1022,796021679,7
1022,796147974,20
1022,796166807,67
1022,796617197,28
1022,796632005,11
1022,796669200,4
1023,465444072,2
1023,503605774,26
1023,503614441,9
1023,504805710,1199
1023,603627083,44
1023,604849609,87
1023,644512342,1
1023,654572107,23
1023,658553400,506
1023,674651746,10
1023,684502670,839
1023,684559019,781
1023,684579476,3
1023,684580072,35
1023,703678522,181
1023,704842749,313
1023,763415605,861
1023,763416125,24
1023,763734201,1799
1023,764675828,14
1023,766917299,1
1023,766965626,138
1023,768234222,352
1023,796143227,84
1023,796156511,44
1023,796205355,92
1023,796205895,6
1023,796607675,26
1023,796730637,10
1023,796756418,192
1023,796805678,12
1025,644587257,552
1025,796638497,958
1027,514538981,23
1027,603676138,64
1027,654673466,453
1027,694657114,627
1027,796836403,578
