group_id,id
0,1102394
1,1187304
2,1449032
3,1343934
4,1767836
5,2059961
6,177221
7,1964353
8,1175281
9,657863
10,1175122
11,1584822
12,1772512
13,203344
14,1088533
15,122907
16,1561606
17,1735326
18,2065881
19,838026
20,1281274
21,1994315
22,1475524
23,352434
24,1557119
25,670536
26,962457
27,1140651
28,1685011
29,639148
30,1584703
31,119370
32,1596977
33,868222
34,1086053
35,1426390
36,517013
37,464866
38,678246
39,96504
40,704292
41,1118117
42,1458508
43,957036
44,969502
45,549068
46,382933
47,84210
48,1173915
49,515271
50,612957
51,1382854
52,2052720
53,387139
54,1440295
55,1346077
56,2019254
57,561890
58,391338
59,1367476
60,1844006
61,1546447
62,1890020
63,483896
64,1009525
65,455984
66,1427761
67,1225156
68,741636
69,1733175
70,1107067
71,1116730
72,1379201
73,1779939
74,1511028
75,1039362
76,1912164
77,2015749
78,1299176
79,1352405
80,1277112
81,1789940
82,278036
83,968310
84,2071714
85,566577
86,1431907
87,565854
88,132781
89,860426
90,1110065
91,1234698
92,366480
93,1181068
94,748578
95,734279
96,1939998
97,258314
98,1008236
99,1217774
100,1826870
101,121295
102,1925411
103,1594508
104,1690685
105,656123
106,476784
107,995292
108,1673411
109,664389
110,575148
111,10371
112,2010544
113,2059479
114,1030897
115,548950
116,1554806
117,1885017
118,272963
119,1030333
120,1116330
121,525828
122,1074970
123,1710455
124,1478594
125,1924339
126,211109
127,987495
128,1008448
129,104177
130,180883
131,239133
132,1349992
133,1537249
134,398292
135,511389
136,233092
137,160977
138,91683
139,1191716
140,841206
141,1436267
142,1958633
143,455359
144,1288670
145,1488170
146,810392
147,141708
148,1701901
149,562093
150,1186904
151,2083653
152,518180
153,242900
154,71940
155,961328
156,1505054
157,1346096
158,231643
159,1622630
160,69530
161,934929
162,1320651
163,1570579
164,1595318
165,233486
166,1237157
167,1520987
168,1948150
169,670320
170,108559
171,2076701
172,203184
173,1015826
174,1697657
175,603369
176,1755554
177,1624317
178,1072382
179,126739
180,1611902
181,829904
182,784943
183,186352
184,980953
185,672552
186,1087254
187,1014656
188,896242
189,2084486
190,1960538
191,105876
192,398396
193,939374
194,1995388
195,1058571
196,556195
197,1126403
198,557608
199,1004332
200,1966755
201,1180872
202,1613860
203,483053
204,801953
205,1916502
206,1991853
207,346215
208,618887
209,2025045
210,1170077
211,1934078
212,368123
213,1120636
214,1244645
215,571405
216,1936847
217,1024520
218,1727869
219,417205
220,692529
221,309261
222,1234761
223,496101
224,2046978
225,345363
226,1552759
227,1767796
228,1190482
229,1186227
230,1350021
231,1155184
232,771525
233,1856019
234,1860913
235,398504
236,424481
237,1411899
238,1648195
239,1866977
240,1503440
241,1322580
242,1439905
243,1051684
244,1781105
245,1058673
246,1068896
247,1143660
248,461178
249,1138286
250,1426952
251,848858
252,2050925
253,1474864
254,1392770
255,211669
256,1616612
257,1557125
258,1865730
259,389918
260,1311571
261,384823
262,398386
263,1839291
264,1944302
265,1463759
266,1675066
267,578583
268,1574806
269,216531
270,1379445
271,2037467
272,1828369
273,1874212
274,666974
275,1623641
276,1010003
277,750693
278,97597
279,1881213
280,1931939
281,1958194
282,1143027
283,2049819
284,58228
285,489103
286,549257
287,859038
288,2055411
289,313835
290,408469
291,1434060
292,1285212
293,1887849
294,1978512
295,1594224
296,1737703
297,285462
298,1922244
299,273748
300,1849728
301,2056236
302,163330
303,825258
304,1865549
305,293893
306,563791
307,573534
308,539617
309,698208
310,1758925
311,639466
312,1188959
313,2086443
314,2045447
315,1116214
316,1344899
317,505182
318,594316
319,1941845
320,1518492
321,1926951
322,1559770
323,316194
324,1455657
325,89618
