group_id,id
0,1923259
1,100951
2,912171
3,117551
4,1632214
5,1195226
6,127037
7,1975667
8,1388440
9,1529852
10,2054472
11,772368
12,191855
13,2070499
14,72753
15,1634
16,1515466
17,1822171
18,120617
19,1468523
20,230427
21,1563594
22,51784
23,600636
24,1320644
25,1561994
26,577530
27,584529
28,1182208
29,629339
30,1355346
31,1653353
32,1373154
33,1100326
34,382933
35,96728
36,1983168
37,1038241
38,1614952
39,1412361
40,1513500
41,1434060
42,461824
43,816813
44,1079011
45,408012
46,2019983
47,166128
48,340699
49,764663
50,1013683
51,1496683
52,1330021
53,1667161
54,1561606
55,1833519
56,350673
57,1080834
58,788374
59,349780
60,2038280
61,1147490
62,1593608
63,1368768
64,160360
65,1544108
66,1050842
67,1138370
68,800724
69,985063
70,1768688
71,1818636
72,43927
73,102379
74,1267345
75,423379
76,1635849
77,41825
78,819140
79,1333792
80,243754
81,280620
82,441755
83,489103
84,1494544
85,999107
86,450820
87,1454086
88,661547
89,2054539
90,1580741
91,1303823
92,1039362
93,1319731
94,1453012
95,881043
96,1997596
97,69348
98,1298260
99,1855131
100,837947
101,854332
102,1255054
103,1109124
104,1825529
105,556558
106,2041025
107,1463759
108,1675066
109,1184040
110,2048166
111,1045857
112,1836644
113,1851936
114,41879
115,1229231
116,788576
117,412275
118,1836250
119,1088488
120,1098136
121,1116730
122,1666067
123,1779939
124,1115434
125,721606
126,1618736
127,863249
128,1200858
129,1010658
130,1071486
131,1474029
132,1515295
133,2071714
134,1119629
135,680789
136,598015
137,1235058
138,487752
139,1186103
140,265397
141,1372894
142,2015331
143,1320651
144,1354188
145,440242
146,1887360
147,346005
148,382668
149,1517885
150,126739
151,245129
152,177323
153,1412224
154,1544708
155,67063
156,1701594
157,1577179
158,160436
159,1696675
160,752768
161,1456293
162,323425
163,1501168
164,2010544
165,701314
166,2025152
167,1618639
168,1714626
169,2019254
170,1571710
171,640518
172,757916
173,338161
174,1257219
175,1431907
176,565854
177,1663312
178,1315762
179,1306211
180,688993
181,1856735
182,1456249
183,885725
184,1356646
185,1447202
186,707404
187,684101
188,1089957
189,969451
190,1241012
191,1361307
192,777486
193,2091593
194,50181
195,1532681
196,617956
197,1736714
198,1192940
