Timestamp,id,type,X,Y
2014-06-08 08:00:44,96728.0,check-in,99.0,77.0
2014-06-08 08:01:29,96728.0,movement,98.0,77.0
2014-06-08 08:01:35,96728.0,movement,97.0,77.0
2014-06-08 08:01:41,96728.0,movement,96.0,76.0
2014-06-08 08:01:47,96728.0,movement,95.0,76.0
2014-06-08 08:01:53,96728.0,movement,94.0,76.0
2014-06-08 08:01:59,96728.0,movement,93.0,77.0
2014-06-08 08:02:05,96728.0,movement,92.0,77.0
2014-06-08 08:03:05,1089191.0,check-in,63.0,99.0
2014-06-08 08:04:17,1089191.0,movement,64.0,98.0
2014-06-08 08:04:26,1089191.0,movement,64.0,97.0
2014-06-08 08:04:35,1089191.0,movement,64.0,96.0
2014-06-08 08:04:44,1089191.0,movement,65.0,95.0
2014-06-08 08:04:53,1089191.0,movement,65.0,94.0
2014-06-08 08:05:02,1089191.0,movement,65.0,93.0
2014-06-08 08:05:11,1089191.0,movement,66.0,92.0
2014-06-08 08:05:20,1089191.0,movement,67.0,91.0
2014-06-08 08:05:29,1089191.0,movement,67.0,90.0
2014-06-08 08:05:29,1089795.0,check-in,0.0,67.0
2014-06-08 08:05:38,1089191.0,movement,68.0,89.0
2014-06-08 08:05:47,1089191.0,movement,67.0,88.0
2014-06-08 08:05:56,1089191.0,movement,67.0,87.0
2014-06-08 08:06:05,1089191.0,movement,68.0,86.0
2014-06-08 08:06:14,1089191.0,movement,68.0,85.0
2014-06-08 08:06:18,1892771.0,check-in,63.0,99.0
2014-06-08 08:06:19,1089795.0,movement,1.0,66.0
2014-06-08 08:06:23,1089191.0,movement,69.0,84.0
2014-06-08 08:06:27,1089795.0,movement,2.0,67.0
2014-06-08 08:06:32,1089191.0,movement,68.0,83.0
2014-06-08 08:06:35,1089795.0,movement,3.0,66.0
2014-06-08 08:06:41,1089191.0,movement,69.0,82.0
2014-06-08 08:06:43,1089795.0,movement,4.0,66.0
2014-06-08 08:06:50,1089191.0,movement,70.0,81.0
2014-06-08 08:06:51,1089795.0,movement,5.0,67.0
2014-06-08 08:06:59,1089191.0,movement,71.0,80.0
2014-06-08 08:06:59,1089795.0,movement,6.0,66.0
2014-06-08 08:07:07,1089795.0,movement,7.0,67.0
2014-06-08 08:07:08,1089191.0,movement,72.0,79.0
2014-06-08 08:07:15,1089795.0,movement,8.0,66.0
2014-06-08 08:07:17,1089191.0,movement,73.0,78.0
2014-06-08 08:07:23,1089795.0,movement,9.0,67.0
2014-06-08 08:07:26,1089191.0,movement,74.0,77.0
2014-06-08 08:07:31,1089795.0,movement,10.0,66.0
2014-06-08 08:07:35,1089191.0,movement,75.0,76.0
2014-06-08 08:07:39,1089795.0,movement,11.0,67.0
2014-06-08 08:07:44,1089191.0,movement,76.0,75.0
2014-06-08 08:07:47,1089795.0,movement,12.0,66.0
2014-06-08 08:07:53,1089191.0,movement,77.0,74.0
2014-06-08 08:07:55,1089795.0,movement,13.0,66.0
2014-06-08 08:08:02,1089191.0,movement,78.0,73.0
2014-06-08 08:08:03,1089795.0,movement,14.0,66.0
2014-06-08 08:08:11,1089191.0,movement,79.0,73.0
2014-06-08 08:08:11,1089795.0,movement,15.0,66.0
2014-06-08 08:08:19,1089795.0,movement,16.0,66.0
2014-06-08 08:08:19,1892771.0,movement,64.0,98.0
2014-06-08 08:08:20,1089191.0,movement,80.0,74.0
2014-06-08 08:08:27,1089795.0,movement,17.0,66.0
2014-06-08 08:08:27,1892771.0,movement,64.0,97.0
2014-06-08 08:08:29,1089191.0,movement,81.0,73.0
2014-06-08 08:08:35,1089795.0,movement,18.0,67.0
2014-06-08 08:08:35,1892771.0,movement,64.0,96.0
2014-06-08 08:08:38,1089191.0,movement,82.0,72.0
2014-06-08 08:08:43,1089795.0,movement,19.0,67.0
2014-06-08 08:08:43,1892771.0,movement,64.0,95.0
2014-06-08 08:08:47,1089191.0,movement,83.0,71.0
2014-06-08 08:08:51,1089795.0,movement,20.0,66.0
2014-06-08 08:08:51,1892771.0,movement,64.0,94.0
2014-06-08 08:08:56,1089191.0,movement,84.0,70.0
2014-06-08 08:08:59,1089795.0,movement,21.0,66.0
2014-06-08 08:08:59,1892771.0,movement,64.0,93.0
2014-06-08 08:09:05,1089191.0,movement,85.0,69.0
2014-06-08 08:09:07,1089795.0,movement,22.0,67.0
2014-06-08 08:09:07,1892771.0,movement,64.0,92.0
2014-06-08 08:09:14,1089191.0,movement,86.0,68.0
2014-06-08 08:09:15,1089795.0,movement,23.0,66.0
2014-06-08 08:09:15,1892771.0,movement,63.0,91.0
2014-06-08 08:09:23,1089191.0,movement,87.0,67.0
2014-06-08 08:09:23,1089795.0,movement,24.0,67.0
2014-06-08 08:09:23,1892771.0,movement,62.0,90.0
2014-06-08 08:09:31,1089795.0,movement,25.0,66.0
2014-06-08 08:09:31,1892771.0,movement,61.0,89.0
2014-06-08 08:09:32,1089191.0,movement,86.0,66.0
2014-06-08 08:09:39,1089795.0,movement,26.0,67.0
2014-06-08 08:09:39,1892771.0,movement,60.0,89.0
2014-06-08 08:09:41,1089191.0,movement,87.0,65.0
2014-06-08 08:09:47,1089795.0,movement,27.0,66.0
2014-06-08 08:09:47,1892771.0,movement,59.0,89.0
2014-06-08 08:09:50,1089191.0,movement,87.0,64.0
2014-06-08 08:09:55,1089795.0,movement,28.0,67.0
2014-06-08 08:09:55,1892771.0,movement,58.0,88.0
2014-06-08 08:09:58,96728.0,movement,91.0,78.0
2014-06-08 08:09:59,1089191.0,movement,88.0,63.0
2014-06-08 08:10:03,1089795.0,movement,29.0,66.0
2014-06-08 08:10:03,1892771.0,movement,57.0,88.0
2014-06-08 08:10:04,96728.0,movement,90.0,78.0
2014-06-08 08:10:08,1089191.0,movement,88.0,62.0
2014-06-08 08:10:10,96728.0,movement,89.0,79.0
2014-06-08 08:10:11,1089795.0,movement,30.0,67.0
2014-06-08 08:10:11,1892771.0,movement,56.0,87.0
2014-06-08 08:10:16,96728.0,movement,88.0,79.0
2014-06-08 08:10:17,1089191.0,movement,89.0,61.0
2014-06-08 08:10:19,1089795.0,movement,31.0,67.0
2014-06-08 08:10:19,1892771.0,movement,55.0,86.0
2014-06-08 08:10:22,96728.0,movement,87.0,79.0
2014-06-08 08:10:26,1089191.0,movement,88.0,60.0
2014-06-08 08:10:27,1089795.0,movement,32.0,67.0
